number,type,gu,area,room,lat,long
422,다가구,강북구,520.4,10,37.6456262,127.0401248
423,다가구,도봉구,462.76,8,37.66755,127.0454288
424,다가구,강서구,530.28,9,37.5452869,126.8532386
425,다가구,강서구,302.56,8,37.5632298,126.8217639
426,다가구,강북구,418.46,8,37.62897,127.01986
427,다가구,도봉구,598.32,10,37.6612546,127.0427968
428,다가구,도봉구,583.52,8,37.6698691,127.0447216
429,다가구,성북구,487.08,10,37.6113672,127.0403044
430,다가구,강동구,322.35,6,37.55556,127.13817
431,다가구,강서구,299.87,7,37.5448136,126.8561521
432,다가구,구로구,596.88,10,37.4899993,126.8564512
433,다가구,은평구,247.05,4,37.6337683,126.9296756
434,다가구,성북구,511.25,8,37.6137981,127.0158113
435,다가구,노원구,479.04,8,37.6674011,127.0844617
436,다가구,노원구,536.92,8,37.6674011,127.0844617
437,다가구,노원구,479.92,8,37.6674011,127.0844617
438,다가구,노원구,258.08,4,37.6674011,127.0844617
439,다가구,관악구,193.56,5,37.4821665,126.9391574
440,다가구,도봉구,199.26,5,37.6586641,127.0304994
441,다가구,강서구,607.48,8,37.5592075,126.8546941
442,다가구,강북구,334.44,6,37.6396114,127.0235421
443,다가구,강북구,486.54,8,37.6396114,127.0235421
444,다가구,강서구,569.79,12,37.555048,126.8580911
445,다가구,송파구,311.8,8,37.5129599,127.1375913
446,다가구,중랑구,257.42,14,37.6179333,127.082109
447,다가구,성북구,597.86,10,37.6263161,127.005296
448,다가구,도봉구,436.32,8,37.668474,127.0418286
449,다가구,도봉구,436.32,8,37.668474,127.0418286
450,다가구,도봉구,451.68,8,37.668474,127.0418286
451,다가구,도봉구,451.68,8,37.668474,127.0418286
452,다가구,도봉구,444,8,37.668474,127.0418286
453,다가구,도봉구,444,8,37.668474,127.0418286
454,다가구,도봉구,447.84,8,37.668474,127.0418286
455,다가구,도봉구,447.84,8,37.668474,127.0418286
456,다가구,도봉구,108.42,29,37.6566915,127.0304791
457,다가구,도봉구,479.6,8,37.6457538,127.0441504
458,다가구,도봉구,502.88,8,37.6457538,127.0441504
459,다가구,노원구,398.6,7,37.6814956,127.0596305
460,다가구,강서구,216.69,6,37.5430126,126.8646656
461,다가구,성북구,501.24,10,37.618095,127.0195702
462,다가구,양천구,474.23,10,37.5454268,126.8387054
463,다가구,강북구,520.68,20,37.643363,127.0410067
464,다가구,강북구,456.56,8,37.6540193,127.0210614
465,다가구,도봉구,271.4,7,37.6747001,127.0440501
466,다가구,성북구,533.1,10,37.6131288,127.0219823
467,다가구,강서구,299.16,6,37.5587146,126.8440942
468,다가구,강서구,480.44,8,37.551588,126.8569334
469,다가구,강북구,532.29,10,37.6537036,127.0268294
470,다가구,도봉구,472.56,8,37.6671396,127.0469018
471,다가구,도봉구,601.36,12,37.6485848,127.0460855
472,다가구,은평구,508.07,13,37.6257962,126.9185198
473,다가구,강북구,480.36,8,37.6358076,127.0233617
474,다가구,강서구,292.68,7,37.561902,126.8203442
475,다가구,은평구,543.95,12,37.6299371,126.9203868
476,다가구,은평구,201.91,7,37.6299371,126.9203868
477,다가구,은평구,598.72,12,37.6299371,126.9203868
478,다가구,중랑구,581.84,11,37.5902098,127.0842358
479,다가구,서대문구,582.59,10,37.599438,126.9407972
480,다가구,중랑구,544.47,8,37.5902098,127.0842358
481,다가구,서대문구,223.62,22,37.599438,126.9407972
482,다가구,은평구,516.55,10,37.6299371,126.9203868
483,다가구,양천구,313.08,8,37.5413666,126.8330914
484,다가구,도봉구,437.39,8,37.67142,127.04033
485,다가구,도봉구,553.68,10,37.6747617,127.0378251
486,다가구,도봉구,284.64,8,37.6566915,127.0304791
487,다가구,중랑구,576.31,24,37.5988258,127.0990954
488,다가구,강북구,440.61,8,37.6412109,127.0215774
489,다가구,강북구,445.88,8,37.6415821,127.021857
490,다가구,노원구,317.84,8,37.6390209,127.0504841
491,다가구,도봉구,552.38,10,37.6637695,127.0228804
492,다가구,도봉구,481.91,8,37.6612266,127.0251811
493,다가구,강북구,373.63,7,37.6548576,127.0255771
494,다가구,강북구,557.72,10,37.653668,127.0188419
495,다가구,동작구,213.16,6,37.4881443,126.9822886
496,다가구,관악구,104.64,19,37.4790569,126.9283583
497,다가구,성북구,404.46,7,37.6199092,127.0186597
498,다가구,강서구,492.33,8,37.5477147,126.8564632
499,다가구,강서구,595.02,10,37.5527012,126.8524576
500,다가구,강서구,73.99,19,37.5617207,126.8685232
501,다가구,강서구,390.31,8,37.5430126,126.8646656
502,다가구,도봉구,473.56,8,37.6752565,127.0479037
503,다가구,도봉구,394.21,7,37.6612266,127.0251811
504,다가구,도봉구,187.3,4,37.6569406,127.0326109
505,다가구,도봉구,312.54,8,37.6730526,127.0396512
506,다가구,도봉구,174.51,5,37.6668927,127.0434463
507,다가구,중랑구,415.73,8,37.5979039,127.1074988
508,다가구,중랑구,434.38,8,37.5993058,127.1082431
509,다가구,강북구,596.3,11,37.6427065,127.0220814
510,다가구,강북구,434.29,8,37.6538025,127.0248374
511,다가구,도봉구,452.74,7,37.6427689,127.0472043
512,다가구,강북구,321.05,7,37.6450322,127.0190005
513,다가구,양천구,487.57,9,37.5373714,126.8364327
514,다가구,양천구,403.41,8,37.5497255,126.8744458
515,다가구,도봉구,509.52,8,37.6485848,127.0460855
516,다가구,도봉구,237.42,22,37.6603129,127.0632911
517,다가구,도봉구,300.17,7,37.673929,127.0386968
518,다가구,도봉구,466.61,8,37.673929,127.0386968
519,다가구,도봉구,478.21,8,37.673929,127.0386968
520,다가구,은평구,416.53,8,37.61424,126.9264
521,다가구,은평구,531.64,16,37.6242805,126.9192776
522,다가구,성북구,595.42,10,37.618095,127.0195702
523,다가구,관악구,401.67,11,37.4730516,126.9426652
524,다가구,마포구,539.22,15,37.5596592,126.9183143
525,다가구,은평구,386.96,8,37.6267433,126.9347419
526,다가구,은평구,397.29,8,37.6267433,126.9347419
527,다가구,노원구,522.03,8,37.6798771,127.0633163
528,다가구,노원구,528.16,8,37.6798771,127.0633163
529,다가구,구로구,552.94,10,37.4975728,126.8652919
530,다가구,강서구,267.68,7,37.5439495,126.8684164
531,다가구,양천구,295.62,7,37.5423473,126.8394511
532,다가구,강북구,453.36,8,37.6429432,127.0211985
533,다가구,강북구,455.82,8,37.6346261,127.0465887
534,다가구,마포구,318.5,8,37.5623338,126.9106398
535,다가구,은평구,473.96,8,37.6218467,126.9232001
536,다가구,은평구,470.47,8,37.6218467,126.9232001
537,다가구,강서구,468.88,16,37.5448136,126.8561521
538,다가구,도봉구,528.2,9,37.673929,127.0386968
539,다가구,도봉구,527.76,10,37.673929,127.0386968
540,다가구,도봉구,527.76,10,37.673929,127.0386968
541,다가구,도봉구,209.48,4,37.6759023,127.0438365
542,다가구,도봉구,602.46,10,37.673929,127.0386968
543,다가구,도봉구,295.42,4,37.6485848,127.0460855
544,다가구,도봉구,531.6,8,37.6485848,127.0460855
545,다가구,도봉구,501.16,8,37.6469502,127.0437977
546,다가구,도봉구,391,8,37.6682829,127.0558542
547,다가구,도봉구,470.7,8,37.6918333,127.0515583
548,다가구,도봉구,460,8,37.6525145,127.0436665
549,다가구,강북구,494.04,8,37.62897,127.01986
550,다가구,강북구,469.92,8,37.62897,127.01986
551,다가구,성북구,596.78,10,37.6201502,127.0195573
552,다가구,강북구,311.41,8,37.6548576,127.0255771
553,다가구,강북구,446.43,10,37.6522099,127.0233025
554,다가구,강북구,476.24,8,37.6507255,127.019081
555,다가구,성북구,336.88,7,37.618095,127.0195702
556,다가구,은평구,596.78,12,37.6299371,126.9203868
557,다가구,은평구,596.32,12,37.6299371,126.9203868
558,다가구,강서구,484.81,8,37.5393248,126.8606172
559,다가구,도봉구,466.32,8,37.6759023,127.0438365
560,다가구,도봉구,575.12,11,37.6566915,127.0304791
561,다가구,양천구,408.49,11,37.5373714,126.8364327
562,다가구,강서구,520.44,12,37.5438353,126.8571137
563,다가구,은평구,522.26,10,37.6240002,126.9173593
564,다가구,은평구,601.5,14,37.6226806,126.9196848
565,다가구,은평구,601.72,14,37.622296,126.9186883
566,다가구,은평구,590.45,12,37.6299371,126.9203868
567,다가구,구로구,405.32,8,37.4927452,126.8607073
568,다가구,양천구,442.66,8,37.5373714,126.8364327
569,다가구,양천구,421.58,8,37.5373714,126.8364327
570,다가구,도봉구,369.14,7,37.6409762,127.0483177
571,다가구,강서구,326.73,7,37.5480864,126.8557019
572,다가구,도봉구,227.72,4,37.6458764,127.0435033
573,다가구,도봉구,505.48,8,37.6458764,127.0435033
